CAS,MolecularWeight
110-45-2,116.1583
2198-61-0,186.2912
659-70-1,172.2646
2035-99-6,214.3443
102-19-2,206.2808
105-68-0,144.2114
87-20-7,208.2536
124-76-5,154.2493
85586-67-0,224.3392
125-12-2,196.2860
1200-67-5,182.2594
7779-73-9,238.3657
2756-56-1,210.3126
589-66-2,142.1956
110-19-0,116.1583
78-83-1,74.1216
7779-81-9,156.2221
7779-77-3,193.2423
120-50-3,178.2277
539-90-2,144.2114
122-67-8,204.2649
105-79-3,172.2646
97-85-8,144.2114
65505-24-0,207.2689
102-13-6,192.2542
87-19-4,194.2271
78-84-2,72.1057
79-31-2,88.1051
1335-66-6,152.2334
97-54-1,164.2011
93-29-8,206.2378
120-11-6,254.3236
93-16-3,178.2277
37677-14-8,192.2973
14727-47-0,220.3505
1135-66-6,204.3511
23787-90-8,220.3505
79-89-0,206.3239
41519-18-0,170.2487
505-32-8,296.5310
66576-71-4,144.2114
108-21-4,102.1317
939-48-0,164.2011
638-11-9,130.1849
2311-46-8,158.2380
32665-23-9,144.2114
89-79-2,154.2493
57576-09-7,196.2860
120-58-1,162.1852
503-74-2,102.1317
7785-26-4,136.2340
18172-67-3,136.2340
5655-61-8,196.2860
1205-42-1,194.2701
112-54-9,184.3184
112-66-3,228.3709
112-53-8,186.3342
464-45-9,154.2493
6485-40-1,150.2176
7540-51-4,156.2652
123-76-2,116.1152
7787-20-4,152.2334
78-70-6,154.2493
1365-19-1,170.2487
14049-11-7,170.2487
115-95-7,196.2860
7149-26-0,273.3700
126-64-7,258.3554
78-36-4,224.3392
78-37-5,284.3927
115-99-1,182.2594
7779-23-9,252.3923
78-35-3,224.3392
1118-27-0,238.3657
144-39-8,210.3126
5989-54-8,136.2340
6915-15-7,134.0874
2216-51-5,156.2652
475-20-7,204.3511
118-71-8,126.1100
108-39-4,108.1378
151-10-0,138.1638
89-78-1,156.2652
15356-70-4,156.2652
10458-14-7,154.2493
89-48-5,198.3019
16409-45-3,198.3019
3613-30-7,186.2912
2986-54-1,198.3449
41270-80-8,179.1727
611-13-2,126.1100
2396-77-2,128.1690
868-57-5,116.1583
111-79-5,170.2487
111-80-8,168.2328
111-12-6,154.2063
1072-83-9,109.1259
2270-60-2,184.2753
2396-78-3,128.1690
21188-58-9,146.1843
13532-18-8,134.197
39924-52-2,224.2961
79-20-9,74.0785
105-45-3,116.1152
121-98-2,166.1739
134-20-3,151.1626
4707-47-5,196.1999
93-58-3,136.1479
93-08-3,170.2072
623-42-7,102.1317
103-26-4,162.1852
13894-62-7,128.1690
14352-61-5,156.2221
110-42-9,186.2912
24851-98-7,226.3120
106-73-0,144.2114
112-39-0,270.4507
106-70-7,130.1849
547-63-7,102.1317
556-24-1,116.1583
1211-29-6,224.2961
111-82-0,214.3443
67633-95-8,172.2646
301-00-8,292.4562
74-93-1,48.107
93-60-7,137.1360
85-91-6,165.1891
111-11-5,158.2380
606-45-1,166.1739
3558-60-9,136.1910
101-41-7,150.1745
99-75-2,150.1745
554-12-1,88.1051
119-36-8,152.1473
2432-51-1,118.197
2396-85-2,156.2221
111-81-9,198.3019
624-24-8,116.1583
5533-03-9,168.1898
127-42-4,206.3239
127-43-5,206.3239
80-71-7,112.1265
13341-72-5,166.2170
81-14-1,294.3031
123-35-3,136.2340
543-39-5,154.2493
1118-39-4,196.2860
124-25-4,212.3715
629-63-0,209.3709
515-00-4,152.2334
1079-01-2,194.2701
996-97-4,199.3330
3738-00-9,236.3929
6790-58-5,236.3929
106-26-3,152.2334
106-25-2,154.2493
1786-08-9,152.2334
142-50-7,222.3663
7212-44-4,222.3663
2306-78-7,264.4030
141-12-8,196.2860
999-40-6,224.3392
2142-94-1,182.2594
2345-24-6,224.3392
3915-83-1,238.3657
105-91-9,210.3126
1438-94-4,147.1739
19089-92-0,170.2487
18836-52-7,223.3544
557-48-2,138.2069
124-19-6,142.2386
18824-63-0,188.3071
54815-13-3,216.3602
112-05-0,158.2380
29127-83-1,137.2221
143-13-5,186.2912
4674-50-4,218.3346
128-50-7,166.2600
128-51-8,208.2967
5986-38-9,154.2493
95-48-7,108.1378
124-13-0,128.2120
54889-48-4,202.3336
10022-28-3,174.2805
124-12-9,125.2114
112-14-1,172.2646
110-39-4,200.3178
112-32-3,158.2380
109-15-9,200.3178
7786-58-5,214.3443
106-02-5,240.3816
135-02-4,136.1479
1504-74-1,162.1852
86-26-0,184.2338
644-35-9,136.1910
137-06-4,124.203
533-18-6,150.1745
19819-98-8,136.1910
1195-32-0,132.2023
1197-01-9,150.2176
104-21-2,180.2005
123-63-7,132.1577
5986-55-0,222.3663
106-44-5,108.1378
614-34-6,212.2439
607-88-5,228.2433
99-87-6,134.2182
150-78-7,138.1638
55590-83-5,172.2646
25415-62-7,172.2646
624-54-4,144.2114
123-07-9,122.1644
103-45-7,164.2011
60-12-8,122.1644
94-47-3,226.2705
103-52-6,192.2542
103-53-7,252.3077
104-62-1,150.1745
6290-37-5,220.3074
103-48-0,192.2542
2257-09-2,163.239
140-26-1,206.2808
5457-70-5,248.3606
102-20-5,240.2970
122-70-3,178.2277
87-22-9,242.2699
55719-85-2,204.2649
108-95-2,94.1112
118-55-8,214.2167
122-78-1,120.1485
6314-97-2,194.2701
101-48-4,166.2170
103-82-2,136.1479
24817-51-4,206.2808
133-18-6,241.2851
56011-02-0,192.2973
1335-10-0,134.1751
150-86-7,296.5310
110-89-4,85.1475
94-62-2,285.3377
89-81-6,152.2334
120-57-0,150.1314
326-61-4,194.1840
59230-57-8,192.2542
536-60-7,150.2176
10482-56-1,154.2493
138-87-4,154.2493
7764-50-3,152.2334
99-86-5,136.2340
99-85-4,136.2340
2111-75-3,150.2176
536-59-4,152.2334
15111-96-3,194.2701
499-70-7,154.2493
123-11-5,136.1479
874-90-8,133.1473
1963-36-6,162.1852
104-93-8,122.1644
91-61-2,147.2169
104-45-0,150.2176
107-03-9,76.161
94-86-0,178.2277
123-38-6,58.0791
